side,hip_rad,knee_rad,wheel_rad,connect1_rad,connect2_rad,solver_iterations,closure_residual_m,passive_min_singular_value,passive_condition_number,fk_position_error_m,fk_rotation_matrix_error,full_jacobian_error,constraint_tangent_residual,reduced_jacobian_error,finite_difference_linear_error,finite_difference_angular_error,velocity_error,virtual_work_error_nm,power_error_w
left,-0.65,0.0,0.0,0.0,0.0,0,0.0,0.03066181307664957,7.6936613995234815,1.1102230246251565e-16,2.220446049250313e-16,2.718345674301793e-16,4.529428739177415e-17,2.718345674301793e-16,7.101402799136736e-12,6.240119532208155e-12,4.2652359840210616e-17,1.1102230246251565e-16,1.3877787807814457e-17
left,-0.65,0.0,1.0,0.0,0.0,0,0.0,0.03066181307664957,7.6936613995234815,1.1102230246251565e-16,3.3306690738754696e-16,2.718345674301793e-16,4.529428739177415e-17,2.718345674301793e-16,6.507433480962277e-12,8.902337109916648e-12,4.2652359840210616e-17,2.7755575615628914e-17,1.3877787807814457e-17
left,-0.65,0.25,-1.0,0.25,-0.2500000000000003,0,5.551115123125783e-17,0.03421340607416586,7.1194349366583,1.1102230246251565e-16,2.783397804650923e-16,3.8285686989269494e-16,2.971368894404581e-17,3.8285686989269494e-16,8.203521195682129e-12,1.1166956248587212e-11,6.152615125883829e-17,1.1102230246251565e-16,0.0
left,-0.65,0.25,0.0,0.25,-0.2500000000000003,0,5.551115123125783e-17,0.03421340607416586,7.1194349366583,1.1102230246251565e-16,3.885780586188048e-16,3.8285686989269494e-16,2.971368894404581e-17,3.8285686989269494e-16,8.993250588673618e-12,1.0206280265379064e-11,6.152615125883829e-17,5.551115123125783e-17,1.3877787807814457e-17
left,-0.65,0.25,1.0,0.25,-0.2500000000000003,0,5.551115123125783e-17,0.03421340607416586,7.1194349366583,1.1102230246251565e-16,2.220446049250313e-16,3.8285686989269494e-16,2.971368894404581e-17,3.8285686989269494e-16,8.247319494003591e-12,1.647204594945606e-11,6.152615125883829e-17,1.1102230246251565e-16,6.938893903907228e-18
left,-0.65,0.5,-1.0,0.5000000000000004,-0.5000000000000007,0,1.1102230246251565e-16,0.035358303677280656,7.1316763922801005,1.3183898417423734e-16,5.551115123125783e-16,4.938791723552106e-16,6.964424172757517e-17,4.938791723552106e-16,6.641298622156455e-12,1.0849765530451805e-11,8.039994267746595e-17,0.0,0.0
left,-0.65,0.5,0.0,0.5000000000000004,-0.5000000000000007,0,1.1102230246251565e-16,0.035358303677280656,7.1316763922801005,1.6653345369377348e-16,3.885780586188048e-16,4.938791723552106e-16,6.964424172757517e-17,4.938791723552106e-16,7.70777885961138e-12,1.1627698803806652e-11,8.039994267746595e-17,0.0,2.7755575615628914e-17
left,-0.65,0.5,1.0,0.5000000000000004,-0.5000000000000007,0,1.1102230246251565e-16,0.035358303677280656,7.1316763922801005,1.6653345369377348e-16,4.440892098500626e-16,4.938791723552106e-16,6.964424172757517e-17,4.938791723552106e-16,7.496059328815363e-12,1.1569967206526144e-11,8.039994267746595e-17,1.1102230246251565e-16,0.0
left,-0.65,0.75,-1.0,0.75,-0.7500000000000003,0,1.1102230246251565e-16,0.03426097037661508,7.619704320374024,1.1102230246251565e-16,1.1102230246251565e-16,2.718345674301793e-16,9.544170401478724e-17,2.718345674301793e-16,9.734824057971991e-12,8.362451243095639e-12,2.7755575615628914e-17,1.1102230246251565e-16,1.3877787807814457e-17
left,-0.65,0.75,0.0,0.75,-0.7500000000000003,0,1.1102230246251565e-16,0.03426097037661508,7.619704320374024,1.1102230246251565e-16,1.249000902703301e-16,2.718345674301793e-16,9.544170401478724e-17,2.718345674301793e-16,1.0133560657266116e-11,1.1220034176843172e-11,2.7755575615628914e-17,0.0,1.3877787807814457e-17
left,-0.65,0.75,1.0,0.75,-0.7500000000000003,0,1.1102230246251565e-16,0.03426097037661508,7.619704320374024,1.1102230246251565e-16,2.7755575615628914e-16,2.718345674301793e-16,9.544170401478724e-17,2.718345674301793e-16,8.987643962399261e-12,9.132763028867673e-12,2.7755575615628914e-17,1.1102230246251565e-16,0.0
left,-0.325,-0.75,-1.0,-0.7499999999999942,0.7499999999999958,0,2.220446049250313e-16,0.0073709262699269695,30.199307571475636,1.1102230246251565e-16,2.220446049250313e-16,2.718345674301793e-16,4.904737210665282e-17,2.718345674301793e-16,1.4285850280515433e-11,9.171104957667971e-12,4.2652359840210616e-17,5.551115123125783e-17,1.3877787807814457e-17
